Раздел обзора;Имя файла;Авторы и год;Что взять для обзора (тезисы);Тип материала
"ЭМГ как маркер порога и мышечной усталости
при велоэргометрии";2019__Popov__Validation_Method_for_Assessing_Anaerobic_Threshold_in_Working_Muscle_RU.pdf;Попов, Кузнецов, 2019;"1. Детальное описание алгоритма нормировки и V-slope-анализа для велоэргометра и лыжного эргометра.
2. Воспроизводимость метода (CV ~3%) превышает показатели традиционного ЭМГ-порога (низкий test-retest).
3. Аппроксимация nEMG полиномом 5-й степени для определения мощности/времени на пороге.
4. Перспектива: беспроводные ЭМГ-усилители и NIRS-спектрометры для полевых условий.";Методология
"ЭМГ как маркер порога и мышечной усталости
при велоэргометрии";2014__Sayli__sEMG_and_NIRS_Correlation_During_Isometric_Fatigue.pdf;Şayli, Akin, 2014;"1. Значимая отрицательная корреляция между длительностью быстрой фазы NIRS и наклоном MNF ЭМГ при 50% MVC.
2. Динамика O₂Hb/HHb состоит из быстрой фазы (10–20 с) и плато — отражает переход к анаэробному метаболизму.
3. При 75% MVC аэробный и анаэробный механизмы активируются одновременно — корреляции NIRS-ЭМГ ослабевают.
4. Совместная регистрация NIRS и sEMG выявляет момент перехода от аэробного к анаэробному метаболизму.";Методология + количественные данные
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2006__Wang__Which_NIRS_Variable_Best_Reflects_Lactate_Threshold.pdf;Wang, Yoshikawa, 2006;"1. ΔHHb — лучший NIRS-маркер LT: точка перегиба определена у всех 15 испытуемых; корреляции с VT по нагрузке r=0.99 и VO₂ r=0.97 (p<0.0001); с LT по нагрузке r=0.76, по VO₂ r=0.80 (p<0.05).
2. ΔO₂Hb даёт точку перегиба при значительно более высоких нагрузках и только у 11/15 испытуемых — менее надёжен.
3. TOI отражает и перфузию, и десатурацию одновременно — коррелирует с VT и nTHImax, но не с LT напрямую.
4. Вывод: ΔHHb следует использовать как основной NIRS-параметр при определении LT при велоэргометрии.";Сравнение методов + количественные данные
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2016__van_der_Zwaard__Oxygenation_Threshold_from_NIRS_and_VT1.pdf;van der Zwaard, Jaspers, 2016;"1. NIRS-порог (BP) не отличается от VT1 по VO₂ и мощности у тренированных; у нетренированных — предшествует VT1.
2. Толщина подкожной жировой клетчатки объясняет ~80% вариативности SmO₂ — главный источник помех.
3. Воспроизводимость SmO₂ и VT1 высокая (ICC=0.80–0.99); корреляция BP с VT1 умеренная (r=0.58–0.68).
4. Крупный шаг нагрузки (30–50 Вт) снижает точность определения BP — важно для протоколирования.";Сравнение методов + количественные данные + ограничения
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2017__Coquart__Gas_Exchange_Threshold_and_Muscle_Oxygenation_Inflection_Point.pdf;Coquart, Mucci, 2017;"1. O₂Hb-T наступает раньше GET: NIRS отражает метаболизм в мышце без задержки, характерной для дыхания.
2. GET и O₂Hb-T коррелируют (r=0.79, p<0.001); оба предсказывают время до истощения при 90% Wpeak (r=0.81 и 0.72).
3. VO₂ на порогах не отличалась значимо (p>0.05) — методы взаимозаменяемы на уровне группы.
4. RPE-порог (RPE=13) не коррелировал со временем до истощения — нецелесообразен как суррогат.";Сравнение методов + количественные данные
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2018__Farzam__Wearable_NIRS_for_Oxygen_and_Lactate_Threshold_Power.pdf;Farzam, Starkweather, 2018;"1. Портативная CW-NIRS коррелирует с лабораторной по SmO₂ (r=0.86), но менее точна в абсолютных значениях HbO.
2. Простой порог SmO₂ недостаточен для определения LT — нужны алгоритмы по динамике HbO, HbR и HbT совместно.
3. Жировой слой уменьшает фиксируемое падение SmO₂ из-за вклада оксигенации жировой ткани.
4. Первая валидация коммерческого wearable NIRS (Humon Beta) для определения порога у велосипедистов.";Методология + сравнение методов + ограничения
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2020__Lin__Detection_of_Ventilatory_Thresholds_Using_NIRS.pdf;Lin, Huang, 2020;"1. Полиномиальная регрессия (Y = aX³+bX²+cX+d) позволяет автоматически определить VT1 и VT2 по NIRS.
2. VT1NIRS — пик функции O₂Hb (максимальная доставка O₂); VT2NIRS — пик HHb (максимальная утилизация).
3. Нет значимых различий VT1VET vs VT1NIRS (35.8 vs 35.0 мл/кг/мин) и VT2VET vs VT2NIRS (47.4 vs 46.2).
4. Воспроизводимость высокая: Bland–Altman в пределах 95% CI; r=0.94 между сессиями.";Методология + количественные данные
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2021__Cayot__Estimating_Lactate_Threshold_Using_Wireless_NIRS.pdf;Cayot, Robinson, 2021;"1. Dmax и mDmax для кривой StO₂ (Moxy, VL) показали лишь умеренную корреляцию с LT (r=0.69) и незначимую (r=0.49).
2. Тест-ретест надёжность NIRS-порога недостаточна: ICC=0.351 (Dmax), 0.385 (mDmax).
3. StO₂ в покое и на пике нагрузки надёжны (ICC=0.841–0.873) — надёжность самого сигнала не проблема.
4. Вывод: Dmax/mDmax непригодны для определения LT по StO₂; необходимы иные алгоритмы детекции.";Ограничения метода + сравнение методов
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2024__Reinpold__Ventilatory_Thresholds_and_Muscle_Oxygen_Saturation_in_Cyclists.pdf;Reinpõld, Rannama, 2024;"1. В SmO₂ VL выделяются две точки перелома (BP1 и BP2), соответствующие VT1 и VT2.
2. Билатеральное усреднение SmO₂ даёт лучшее соответствие VT: R² для BP2 = 0.86, смещение 0.03±0.22 Вт/кг.
3. Индивидуальная вариативность между системными и локальными порогами высока — полная взаимозаменяемость невозможна.
4. Велосипедисты спринтерского типа имеют тенденцию к более раннему системному VT vs локального NIRS-порога.";Сравнение методов + количественные данные + ограничения
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2016__Driller__Wearable_Lactate_Threshold_Sensor_in_Cyclists.pdf;Driller, Borges, 2016;"1. Носимый NIRS-датчик BSXinsight (m. gastrocnemius) коррелирует с традиционными методами: r>0.96.
2. Наилучшее соответствие с методом Dmax: TEE=8.6 Вт (4.4%), 95% LoA = ±17 Вт.
3. Соответствие со всеми традиционными методами в пределах ±40 Вт (TEE<18 Вт, <8%).
4. Ограничение: датчик на gastrocnemius, а не на VL — возможно несоответствие при педалировании.";Сравнение методов + количественные данные
"NIRS и мышечная оксигенация
(SmO₂, breakpoint)";2019__Popov__MuscleSpecific_Evaluation_of_Anaerobic_Threshold.pdf;Popov, Vinogradova, 2019;"1. HHb — индекс экстракции O₂ в мышце; его скорость нарастания замедляется к концу инкрементного теста (точка перегиба).
2. Ограничение: слой подкожного жира >10 мм маскирует мышечный NIRS-сигнал.
3. Нормировка HHb на [HHbmax − HHbmin] устраняет межиндивидуальные различия абсолютных значений.
4. Совместная нормировка HHb и ЭМГ позволяет обнаружить перегиб, невидимый в каждом сигнале по отдельности.";Методология + ограничения метода
HRV и DFA-α1 как маркер VT1;2022__Rogers__HRV_Fractal_Correlation_for_Endurance_Training_Prescription.pdf;Rogers, Gronwald, 2022;"1. DFA-α1 = 0.75 соответствует аэробному порогу (HRVT1); DFA-α1 = 0.50 — анаэробному (HRVT2).
2. DFA-α1 обладает широким динамическим диапазоном по всем зонам интенсивности — в отличие от SDNN, SD1.
3. Коррекция артефактов <3% не приводит к значимому смещению HRVT — метод устойчив к помехам.
4. Расчёт в реальном времени через Kubios, AIEndurance — применим в полевых условиях без инвазивных проб.";Обзор + методология
HRV и DFA-α1 как маркер VT1;2022__Schaffarczyk__HRV_Validation_for_Cycling_Thresholds_in_Women.pdf;Schaffarczyk, Gronwald, 2022;"1. У женщин HRVT1 (DFA-α1=0.75) соответствует VT1: ICC=0.77, r=0.81 для VO₂; ICC=0.87, r=0.87 для ЧСС.
2. HRVT2 (DFA-α1=0.50) соответствует VT2: ICC=0.84, r=0.86 для VO₂; ICC=0.90, r=0.90 для ЧСС.
3. Bland–Altman: смещение VT1 vs HRVT1 = −1.3 мл/кг/мин (LoA: −6.0 до +3.3).
4. Метод DFA-α1 применим у женщин — ранее недостаточно изученная популяция в литературе по HRV.";Количественные данные + сравнение методов
HRV и DFA-α1 как маркер VT1;2022__Schaffarczyk__DFAa1_HRV_During_WarmUp_in_Triathletes.pdf;Schaffarczyk, Rogers, 2022;"1. После тяжёлой тренировки DFA-α1 значимо снижается во время разминки (p=0.001, d=−1.44).
2. DFA-α1 при стандартизованной субмаксимальной разминке — суррогат «готовности к тренировке».
3. Нейромышечные тесты (CMJ) не меняются значимо — DFA-α1 отражает иной, вегетативный аспект состояния.
4. Рекомендуется 2-минутное окно расчёта DFA-α1 при 90% VT1 для мониторинга статуса атлета.";Методология + количественные данные
"ML и алгоритмы детекции порога
в реальном времени";2024__Tomaszewski__Machine_Learning_for_Aerobic_and_Anaerobic_Thresholds.pdf;Tomaszewski, Majorczyk, 2024;"1. LightGBM лучше всего предсказывает AnT: R²=0.803, MAE=3.44 Вт (183 CPET-протокола).
2. Random Forest лучше предсказывает AeT: R²=0.645, MAE=4.63 Вт.
3. SHAP-анализ: ключевые предикторы — минимальный лактат и ЧСС на уровне максимального лактата.
4. ML улавливает нелинейные индивидуальные паттерны, недоступные стандартным методам определения порога.";Методология + количественные данные
"ML и алгоритмы детекции порога
в реальном времени";2020__Lin__Detection_of_Ventilatory_Thresholds_Using_NIRS.pdf;Lin, Huang, 2020;"1. Полиномиальная регрессия 3-й степени как алгоритм автоматической детекции VT1/VT2 по NIRS — без ручной разметки.
2. VT1 = пик O₂Hb-функции, VT2 = пик HHb-функции: математически обоснованные критерии.
3. Алгоритм воспроизводим (r=0.94 между сессиями) и не требует визуальной инспекции.
4. Применим к данным реального времени при непрерывной регистрации NIRS.";Методология
"ML и алгоритмы детекции порога
в реальном времени";2019__Popov__MuscleSpecific_Evaluation_of_Anaerobic_Threshold.pdf;Popov, Vinogradova, 2019;"1. MATLAB-алгоритм автоматического поиска точки перегиба методом V-slope (минимальная сумма квадратов остатков).
2. Аппроксимация nEMG полиномом 5-й степени — сглаживание шума без потери формы кривой.
3. Алгоритм обрабатывает совместно два нормированных сигнала (HHb и ЭМГ) — multimodal fusion.
4. Беспроводные ЭМГ + NIRS открывают путь к реализации алгоритма вне лаборатории.";Методология
"ML и алгоритмы детекции порога
в реальном времени";2025__Fischer__Modeling_Lactate_Threshold_in_Young_Cyclists.pdf;Fischer, Hävecker, 2025;"1. Регрессионная модель (VO₂peak + %VO₂peak на LT2 + Cc педалирования) объясняет ≥98% дисперсии мощности на LT2.
2. VO₂peak вносит наибольший вклад (62–67% R²); Cc — важнее у женщин (34%), чем у мужчин (8%).
3. Включение VLamax не улучшило точность предсказания LT2 в этой выборке — не универсальный предиктор.
4. Определение Cc при 90% LT2 даёт наибольшую точность (ICC≥0.986).";Количественные данные + методология
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";2013__Messonnier__Lactate_Kinetics_at_the_Lactate_Threshold.pdf;Messonnier, Emhoff, 2013;"1. MCR у тренированных на 34% выше, чем у нетренированных при LT (62.5 vs 46.5 мл/кг/мин, p<0.05).
2. MCR достигает максимума ниже LT — LT соответствует ограничению клиренса, не производства.
3. Ra лактата у тренированных выше при LT (24.1 vs 14.6 мкмоль/кг/мин) — тренировка увеличивает и Ra, и Rd.
4. Тренировка на выносливость увеличивает MCR на ~97% — за счёт митохондриальной адаптации.";Количественные данные + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";1993__Bangsbo__Lactate_and_H_Effluxes_from_Human_Skeletal_Muscles_During_Intense_Exercise.pdf;Bangsbo, Johansen, 1993;"1. Выход H⁺ из мышцы превышает выход лактата (соотношение >1, нарастает с нагрузкой) — котранспорт неэквивалентен.
2. Транспорт лактата насыщается при внутримышечных концентрациях ~45 ммоль/кг — выход лактата отстаёт от градиента.
3. % медленных волокон обратно пропорционален градиенту лактата мышца–кровь.
4. рН мышцы снижается до 6.73, феморальной вены — до 7.14–7.15 при интенсивных нагрузках.";Количественные данные + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";1995__Bangsbo__Lactate_and_H_Uptake_in_Inactive_Muscles_During_Intense_Exercise.pdf;Bangsbo, Aagaard, 1995;"1. Неработающие мышцы активно поглощают лактат пропорционально кровотоку и артериальной концентрации.
2. При двукратном увеличении кровотока поглощение лактата удваивается — лимит по перфузии, не по транспортёрам.
3. Поглощение лактата неактивной мышцей сопряжено с котранспортом H⁺ — вклад в буферизацию.
4. При длительной нагрузке транспорт лактата в неработающую мышцу снижается из-за её закисления.";Количественные данные + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";1998__Bonen__ShortTerm_Training_Increases_Muscle_MCT1_and_Femoral_Venous_Lactate.pdf;Bonen, McCullagh, 1998;"1. После 7 дней тренировок MCT1 в мышце увеличивается на 118% (p<0.05).
2. Рост MCT1 повышает скорость экструзии лактата из мышцы — объяснение улучшенного клиренса после тренировки.
3. Наклон регрессии мышца–вена увеличивается на 33% после тренировки (r=0.92 и 0.85 до/после).
4. Направление потока лактата определяется градиентом концентрации — MCT1 усиливает пассивный транспорт.";Количественные данные + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";1999__MacLean__Muscle_Interstitial_Glucose_and_Lactate_During_Dynamic_Exercise.pdf;MacLean, Bangsbo, 1999;"1. Концентрация лактата в интерстиции VL в покое (2.5±0.2 мМ) выше, чем в артериальной (0.9±0.2 мМ) и венозной (1.1±0.2 мМ) плазме.
2. Изменения интерстициального лактата при нагрузке коррелируют с венозными, но не артериальными — отражение локального метаболизма мышцы.
3. Probe recovery для лактата в покое ~32%; при максимальной нагрузке ~66% — рост диффузионного коэффициента при сокращении.
4. Первое применение микродиализа для мониторинга интерстициального лактата при динамической нагрузке у человека.";Методология + количественные данные
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";2003__Van_Hall__Leg_and_Arm_Lactate_and_Substrate_Kinetics_During_Exercise.pdf;van Hall, Jensen-Urstad, 2003;"1. Системная концентрация лактата может быть низкой (<2.5 ммоль/л) при высокой Ra — если задействована большая мышечная масса.
2. ~95% поглощённого лактата ногами при нагрузке окисляется — основной энергетический субстрат рабочей мышцы.
3. Разделение на миофибриллярный и интермиофибриллярный пулы объясняет одновременное выделение и поглощение лактата.
4. Руки выделяют лактат, ноги поглощают — межмышечный лактатный шаттл при большой мышечной массе (лыжи).";Количественные данные + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";2023__Brooks__What_the_Lactate_Shuttle_Means_for_Sports_Nutrition.pdf;Brooks, 2023;"1. Три роли лактата: окислительный субстрат, глюконеогенный предшественник, сигнальная молекула (миокин/экзеркин).
2. Лактат — главное топливо для красных скелетных мышц, сердца, мозга, эритроцитов и почек.
3. Лактатный шаттл объясняет, почему системный лактат не отражает локальный метаболизм рабочей мышцы.
4. ЧСС и лактат циркулируют совместно, определяя фактическую скорость утилизации углеводного топлива.";Обзор + механизм
"Кинетика лактата
(задержка системного vs локального, влияние мышечной массы)";2025__Fiedler__Reference_Standards_for_Power_at_Lactate_Threshold_2.pdf;Fiedler, Woll, 2025;"1. Операциональное определение LT2 как базовый лактат + 1 ммоль/л — стандартизованный метод для популяционных исследований.
2. R-пакет lactater автоматически вычисляет LT2 из кривой лактат–нагрузка — пример алгоритмизации детекции.
3. Популяционные данные позволяют оценить задержку системного лактата относительно реального мышечного порога.";Методология + количественные данные
Физиология спортсменов и протоколы тестирования;2022__Schaffarczyk__DFAa1_HRV_During_WarmUp_in_Triathletes.pdf;Schaffarczyk, Rogers, 2022;"1. Протокол: базовый тест для VT1 → 10-мин езда при 90% VT1 как симуляция разминки (n=11 триатлонистов).
2. DFA-α1 позволяет оценивать физиологический статус триатлониста через стандартизованную субмаксимальную разминку.
3. Высокая индивидуальная вариабельность — один и тот же прирост нагрузки даёт существенно разную реакцию DFA-α1.
4. Метод применим для ежедневного мониторинга без инвазивных тестов — перспектива для практики триатлона.";Методология
Физиология спортсменов и протоколы тестирования;2025__Fischer__Modeling_Lactate_Threshold_in_Young_Cyclists.pdf;Fischer, Hävecker, 2025;"1. Протокол инкрементного теста с измерением лактата у молодых велосипедистов (14–19 лет) — особенности педиатрической группы.
2. Экономичность педалирования (Cc) у молодых женщин вносит значимый вклад (34% R²) — важна для персонализации.
3. Результаты неприменимы напрямую к взрослым спортсменам без повторной валидации.";Методология + ограничения
Физиология спортсменов и протоколы тестирования;2021__Ji__Calculated_vs_Established_Anaerobic_Lactate_Thresholds_in_Running.pdf;Ji, Sommer, 2021;"1. Протокол: ступенчатый тест на беговой дорожке с забором лактата каждые 3 мин + спирометрия.
2. Параллельное применение четырёх методов определения LT (mDmax, OBLA, DMAX, cLTAn) на одних данных — эталон сравнения.
3. Смешанная выборка (рекреационные и тренированные бегуны) — расширяет применимость выводов.";Методология
